cancelacion,longitud_cuenta,plan_internacional,plan_buzon,mensajes_buzon,total_minutos_dia,total_llamadas_dia,total_costo_dia,total_minutos_tarde,total_llamadas_tarde,total_costo_tarde,total_minutos_noche,total_llamadas_noche,total_costo_noche,total_minutos_internacionales,total_llamadas_internacionales,total_costo_internacional,llamadas_servicio_cliente,total_minutos_dia_log,total_llamadas_dia_log,total_costo_dia_log,total_minutos_noche_log,total_llamadas_noche_log,total_costo_noche_log,total_minutos_internacionales_log,total_llamadas_internacionales_log,total_costo_internacional_log
No,128,no,yes,25,0.7941988950276244,0.5961538461538461,0.7942311598618729,197.4,99,16.78,0.6619822485207099,0.41346153846153844,0.6620065789473685,0.4820143884892087,0.30000000000000004,0.4826666666666668,1,5.583872177983643,4.709530201312334,3.8301619789478254,5.504111279527133,4.5217885770490405,2.485739636091892,2.3978952727983707,1.3862943611198906,1.308332819650179
No,107,no,yes,26,0.4368093922651934,0.7211538461538461,0.4367255738370912,195.5,103,16.62,0.6978550295857986,0.5288461538461539,0.6981907894736842,0.7482014388489209,0.30000000000000004,0.7493333333333335,1,5.0912931971137105,4.820281565605037,3.3488509012899463,5.542830943598439,4.6443908991413725,2.5217206229107165,2.6878474937846906,1.3862943611198906,1.547562508716013
No,137,no,no,0,0.719267955801105,0.6346153846153847,0.7192768637009953,121.2,110,10.3,0.3583579881656804,0.5384615384615384,0.35855263157894735,0.6402877697841727,0.5,0.6400000000000001,0,5.4988062272974405,4.74493212836325,3.746676552840153,5.097424424168647,4.653960350157523,2.1186622548331173,2.580216829592325,1.791759469228055,1.4562867329399256
No,84,yes,no,0,0.9126381215469613,0.22115384615384615,0.9126548852325816,61.9,88,5.26,0.48520710059171585,0.3942307692307693,0.48519736842105265,0.23741007194244607,0.7000000000000001,0.2373333333333334,2,5.705114919889979,4.276666119016055,3.949318790171843,5.28776185260852,4.499809670330265,2.288486168614544,2.028148247292285,2.0794415416798357,1.0224509277025458
No,75,yes,no,0,0.4544198895027624,0.6250000000000001,0.4543977249644525,148.3,122,12.61,0.4482248520710059,0.701923076923077,0.4481907894736842,0.4892086330935252,0.30000000000000004,0.4906666666666667,3,5.122176668829163,4.736198448394496,3.3789517727148355,5.23590990641942,4.804021044733257,2.2417729535972883,2.4069451083182885,1.3862943611198906,1.3164082336557241
No,118,yes,no,0,0.6502071823204421,0.48076923076923084,0.6502132845825715,220.6,101,18.75,0.5110946745562128,0.673076923076923,0.5115131578947368,0.21582733812949645,0.6000000000000001,0.21600000000000003,0,5.413430173648541,4.59511985013459,3.6630486940794147,5.322522055244854,4.77912349311153,2.3204250111223765,1.9878743481543455,1.9459101490553132,0.9932517730102834
No,121,no,yes,24,0.6322513812154695,0.3846153846153847,0.6321348771074549,348.5,108,29.62,0.5432692307692306,0.673076923076923,0.5435855263157895,0.30215827338129503,0.7000000000000001,0.30399999999999994,3,5.389984555073861,4.48863636973214,3.6399517804905126,5.36410510708604,4.77912349311153,2.3580197998821464,2.1400661634962708,2.0794415416798357,1.1085626195212777
No,147,yes,no,0,0.420925414364641,0.29807692307692313,0.4208815762746293,103.1,94,8.76,0.5403106508875739,0.46153846153846156,0.5402960526315789,0.2733812949640288,0.6000000000000001,0.2746666666666667,0,5.062595033026967,4.382026634673881,3.3210713371828704,5.360352757467489,4.574710978503383,2.354228326145884,2.0918640616783932,1.9459101490553132,1.0715836162801904
No,117,no,no,0,0.5158839779005525,0.47115384615384615,0.5159455616494008,351.6,80,29.89,0.5551035502958579,0.40384615384615385,0.5550986842105264,0.3884892086330935,0.4,0.3893333333333334,1,5.22305488204749,4.584967478670572,3.477232067938153,5.378975269565491,4.51085950651685,2.3711778844596574,2.272125885509337,1.6094379124341003,1.208960345836975
No,141,yes,yes,37,0.7717541436464089,0.34615384615384615,0.7716839325614463,222.0,111,18.87,0.964127218934911,0.47115384615384615,0.964638157894737,0.5683453237410072,0.5,0.5680000000000001,0,5.559141984829935,4.442651256490317,3.8057732055854356,5.791182664937034,4.584967478670572,2.753023566744941,2.501435951739211,1.791759469228055,1.3912819026309298
Yes,65,no,no,0,0.32458563535911605,0.8557692307692307,0.3245988218565915,228.5,83,19.42,0.5292159763313609,0.6057692307692307,0.5296052631578948,0.6762589928057554,0.6000000000000001,0.6773333333333335,4,4.86830338551846,4.927253685157205,3.133317936506554,5.346154695962197,4.718498871295094,2.341805806147327,2.617395832834079,1.9459101490553132,1.4883995840570443
No,74,no,no,0,0.5269337016574586,0.7596153846153847,0.5269144830387975,163.4,148,13.89,0.481878698224852,0.4423076923076923,0.48190789473684215,0.4172661870503597,0.5,0.41866666666666674,0,5.240158452374504,4.852030263919617,3.4937765629552486,5.2832037287379885,4.553876891600541,2.2844211223663744,2.312535423847214,1.791759469228055,1.2412685890696329
No,168,no,no,0,0.32354972375690616,0.46153846153846156,0.3235831809872029,104.9,71,8.92,0.2788461538461538,0.7692307692307693,0.27878289473684204,0.5683453237410072,0.2,0.5680000000000001,1,4.86599480426999,4.574710978503383,3.131136910560194,4.956531035103055,4.859812404361672,1.9947003132247452,2.501435951739211,1.0986122886681096,1.3912819026309298
No,95,no,no,0,0.41954419889502764,0.3846153846153847,0.41945967905748527,247.6,75,21.05,0.46819526627218927,0.6442307692307693,0.46792763157894746,0.6474820143884894,0.5,0.648,3,5.060060177423779,4.48863636973214,3.318540147981146,5.264243386214285,4.7535901911063645,2.2669579153508947,2.5877640352277083,1.791759469228055,1.463255402256019
No,62,no,no,0,0.2955801104972376,0.21153846153846156,0.295551492992078,307.2,76,26.11,0.507766272189349,0.4903846153846154,0.5082236842105263,0.7050359712230216,0.6000000000000001,0.7066666666666668,4,4.801558999993482,4.2626798770413155,3.0689827352935835,5.318119993844216,4.605170185988092,2.316487998163037,2.6461747973841225,1.9459101490553132,1.5129270120532565
Yes,161,no,no,0,0.5006906077348066,0.1826923076923077,0.500710948608572,317.8,97,27.01,0.3509615384615384,0.7692307692307693,0.3511513157894737,0.15107913669064754,0.9,0.15200000000000002,4,5.810841546949609,4.219507705176107,4.053348941518581,5.085124146086995,4.859812404361672,2.1077860146889784,1.8562979903656263,2.302585092994046,0.9001613499442714
No,85,no,yes,27,0.556975138121547,0.8750000000000001,0.5569774527726996,280.9,90,23.88,0.08727810650887569,0.2596153846153846,0.08717105263157895,0.7553956834532376,0.4,0.7573333333333334,1,5.285232126999381,4.941642422609304,3.537765824444175,4.5031374604229395,4.330733340286331,1.6134299337036377,2.6946271807700692,1.6094379124341003,1.5539252025038417
